index,concept,i1,i2,i3,i4,i5,req_index_1,req_index_2,req_index_3,req_index_4,req_index_5,req_index_6,req_index_7,req_index_8,req_index_9,req_index_10,req_index_11,req_index_12,req_index_13,req_index_14,req_index_15,req_index_16,req_index_17,req_index_18,req_index_19,req_index_20,req_index_21,req_index_22,req_index_23,req_index_24,req_index_25,req_index_26,req_index_27,req_index_28,req_index_29,req_index_30,req_index_31,req_index_32,req_index_33,req_index_34,req_index_35,req_index_36,req_index_37,req_index_38,req_index_39,req_index_40,req_index_41,req_index_42,req_index_43,req_index_44,req_index_45,req_index_46,req_index_47,req_index_48,req_index_49,req_index_50
1,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0439,0.0754,0.1104,0.5986,0.5746,0.5617,0.5461,0.4936,1.0,0.9989,0.9837,0.9341,0.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.129653450057147e-10,1.352821843542999e-08,3.924220412863621e-05,0.001003876540348853,0.004429956708233773,0.012808695963437986,0.6949880866769226,0.6619798485448565,0.6205933453538804,0.616101890138673,0.5909795610944915,1.0,0.9999999154592474,0.999958645171588,0.9993915998276564,0.9967254704397106
2,0,0,1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0229,0.1444,0.2103,0.2507,0.2903,0.3102,0.9442,0.8858,0.8352,0.7976,0.735,1.0,1.0,1.0,0.9992,0.9832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999960259364296e-06,0.00018234288445046442,0.018980268546752006,0.04861585279383577,0.0947013727363025,0.1317574290923459,0.15654471057894437,0.998521022875181,0.9888003866390273,0.9690445369075763,0.9433959095744388,0.9131988354665718,1.0,1.0,1.0,0.9999996746799142,0.9999821736659091
3,0,0,1,2,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0046,0.0762,0.1279,0.1623,0.1929,0.1699,0.9479,0.8572,0.7451,0.6358,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.359835684813096e-09,4.931323849879396e-06,0.005536008456967466,0.020227753339089875,0.04703242906303096,0.07498049489815196,0.08782779099899155,0.9989932661172659,0.9923972537913375,0.9736118769967789,0.9411536674576755,0.9095284881482582
4,0,0,2,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0074,0.1063,0.172,0.2271,0.264,0.2373,0.9344,0.8363,0.743,0.6453,0.5554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768129513694034e-07,1.666439919953032e-05,0.01072484060359087,0.03302113005885782,0.06928454127689122,0.10165815915641148,0.12141436498579564,0.9976744304422308,0.9861569206531923,0.965541171343313,0.9323012632361001,0.8968682783745328
5,0,0,2,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0155,0.0574,0.1044,0.145,0.1253,0.7465,0.6382,0.5352,0.4564,0.3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2749047942769494e-07,0.00011513871655983525,0.0026958034898910215,0.011205292047644824,0.023907412664662932,0.040160644858514734,0.9460728585041703,0.8895601994105675,0.852004057899039,0.7926609252494805,0.7240062342378543
6,0,1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0149,0.0422,0.3346,0.3566,0.3816,0.3939,0.4066,0.9982,0.974,0.9429,0.8934,0.8335,1.0,1.0,1.0,1.0,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1673527913141365e-06,0.00011981895314867519,0.000897282423531969,0.18238961199492096,0.24872691095680424,0.290820104315704,0.3227839417635101,0.3260550600089835,0.9999992091208169,0.9997651180384177,0.9975183285043835,0.9911795502064098,0.9810353973887084,1.0,1.0,1.0,1.0,0.9999999908042844
7,0,1,0,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0189,0.0463,0.2567,0.2805,0.3005,0.3166,0.3298,0.9396,0.8848,0.8341,0.7833,0.7109,1.0,1.0,1.0,0.9949,0.9578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.635966185969874e-06,0.00016833570815624678,0.0007914247369269115,0.17509721946785478,0.20694180466433465,0.2323714413321945,0.231301118459883,0.26302666601337277,0.9974283195727892,0.9856387050572443,0.9658132117241838,0.9422649485234939,0.9116517777285951,1.0,1.0,1.0,0.9999938972003211,0.9998391396450562
8,0,1,0,2,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0142,0.0329,0.3067,0.3424,0.3656,0.3744,0.3294,0.9976,0.9687,0.8972,0.7952,0.6944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1600289741403993e-06,9.84840960714105e-05,0.00076816671639777,0.13952280579320903,0.22711827029855897,0.24810040885097154,0.28573436002629515,0.30059862213645316,0.9999992498088789,0.9997429189599583,0.9970955568065468,0.9879256078958321,0.9737631928637874
9,0,1,2,-1,-1,-1,0.0,0.0,0.0,0.0,0.0024,0.0023,0.0299,0.0741,0.1099,0.1644,0.5849,0.5666,0.5528,0.5516,0.5419,1.0,0.9923,0.9652,0.9318,0.8837,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0108133963503847e-06,1.8305180723058424e-06,0.00043591073837666305,0.0032441561720547235,0.01086110422258132,0.022293599968312268,0.6338747811468498,0.5902730274064172,0.6113405885837198,0.5966668829452151,0.5533654264108832,1.0,0.9999643699915778,0.9992264246676608,0.9972789373889199,0.990675869276684,1.0,1.0,1.0,1.0,0.99999999943407
10,0,1,2,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0063,0.0194,0.252,0.2954,0.3289,0.3511,0.3158,0.9956,0.9651,0.899,0.8117,0.7051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9107634651093583e-07,1.092320607639005e-05,0.00014529824621040748,0.1066339281370218,0.15851216581504837,0.20206957647829857,0.21580582811519997,0.2527064817875678,0.9999985456557066,0.9997343142827503,0.9971065704857762,0.9896477950009439,0.9735318520131824
