index,concept,i1,i2,i3,i4,ax_pos,st_height,st_width,st_thick,laser_power,scanning_speed,power_density,n_layers,n_deposits,layer_thick,layer_width,layer_length,base_S_ip,base_N_ip,base_n_f_ip,base_U_ip,base_S_th,base_N_th,base_n_f_th,base_U_th,S_ip,N_ip,n_f_ip,U_ip,S_th,N_th,n_f_th,U_th,weight,temp,h_flux,h_area,S_residual,U_res,max_T_pool,build_time,max_res_U,max_res_S,resiliance_ip_uni,resiliance_ip_gau,resiliance_th_uni,resiliance_th_gau
1,0,0,-1,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,245.374627871,23739.817917,2.64539783686,0.486475469033,297.637818974,12204.3921291,2.20548705871,3.54783610433,8.5163893646832,1056.48571777,0.382768004177,109156.193095,40.5173931122,0.171039164066,2144.57,13542.8645429,0.1710391640663147,40.51739311218262,0.0,0.0,0.0,0.0
2,0,0,1,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,211.846140753,49636.8733041,3.00959902712,0.418200089961,306.73099787,17296.1228831,2.35282558771,3.46642726346,13.8631101946155,1138.16601563,0.5884246259904999,71005.63807429999,103.760566711,0.170663923025,2144.57,2130.16914223,0.17066392302513123,103.76056671142578,0.0,0.0,0.0,0.0
3,0,0,1,2,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,299.391475375,15604.5170538,2.34204514963,0.502815460688,376.98213251,4581.44875968,1.69076995224,3.55948845615,18.9336147826644,1140.44128418,0.6015290962105,69458.91223545,117.918777466,0.170001327991,2144.57,0.0,0.1700013279914856,117.91877746582031,0.0,0.0,0.0,0.0
4,0,0,2,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,263.81359819,19054.0989146,2.48681283576,0.534536697363,353.743576634,5878.30360602,1.80454858795,3.59337251507,13.586893949374199,1154.50830078,0.6015290962105,69458.91223545,79.8866443634,0.168879657984,2144.57,0.0,0.1688796579837799,79.88664436340332,0.0,0.0,0.0,0.0
5,0,0,2,1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,291.342033663,17152.4117022,2.40234496604,0.502843816509,379.807417728,4447.18380834,1.65039367413,3.56018273454,18.9336147826644,1124.46679688,0.5884246259904999,71005.63807429999,117.302295685,0.170721486211,2144.57,2130.16914223,0.17072148621082306,117.30229568481445,0.0,0.0,0.0,0.0
6,0,1,-1,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,273.754437437,15489.0873856,2.07585754575,0.546424720807,229.555333749,29189.2941785,2.67691518789,3.62506715945,5.7863058863255095,1177.69372559,0.5884246259904999,71005.63807429999,152.453140259,0.187921017408,2144.57,2130.16914223,0.18792101740837097,152.45314025878906,0.0,0.0,0.0,0.0
7,0,1,0,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,236.544929562,26267.2885885,2.33879198475,0.417999724939,295.467859012,17562.86613,2.21786297666,3.46565998855,13.863110195516398,1039.86877441,0.382768004177,109156.193095,169.633605957,0.170546069741,2144.57,13542.8645429,0.17054606974124908,169.63360595703125,0.0,0.0,0.0,0.0
8,0,1,0,2,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,333.064384776,7397.24060549,1.73177004777,0.50462439922,368.91259142,4990.83831584,1.71377589085,3.56121871206,18.933614783319598,1140.74462891,0.6015290962105,69458.91223545,178.355739594,0.169391468167,2144.57,0.0,0.169391468167305,178.35573959350586,0.0,0.0,0.0,0.0
9,0,1,2,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,255.939423477,19824.5303847,2.19218737831,0.490394977101,196.551874646,50125.3198302,2.74732973495,3.56095597131,11.275094949218099,1188.10534668,0.6015290962105,69458.91223545,168.635044098,0.192468330264,2144.57,0.0,0.1924683302640915,168.6350440979004,0.0,0.0,0.0,7.88836602351572e-05
10,0,1,2,0,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,332.150936693,7474.21737142,1.74049926745,0.504638528745,369.597090099,4954.54883862,1.67474041319,3.56166029883,18.933614783319598,1011.48370361,0.382768004177,109156.193095,183.44953537,0.172450184822,2144.57,13542.8645429,0.17245018482208252,183.44953536987305,0.0,0.0,0.0,0.0
